,index,Time Series,MXN_USD,MXN_IR,MXN_GDP,MXN_trade,MXN_UE,fc_year,price_gold,h1n1
3956,2015-10-19,2015-10-19,16.5225,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1175.4,0
3957,2015-10-20,2015-10-20,16.5715,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1177.8,0
3958,2015-10-21,2015-10-21,16.665,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1167.1,0
3959,2015-10-22,2015-10-22,16.5135,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1167.0,0
3960,2015-10-23,2015-10-23,16.538,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1161.3,0
3961,2015-10-26,2015-10-26,16.49,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1166.4,0
3962,2015-10-27,2015-10-27,16.5525,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1165.7,0
3963,2015-10-28,2015-10-28,16.444000000000006,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1179.6,0
3964,2015-10-29,2015-10-29,16.6155,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1148.6,0
3965,2015-10-30,2015-10-30,16.53,2.16,0.0119671133559021,0.9578949151968024,0.0445318060523639,0,1142.4,0
3966,2015-11-02,2015-11-02,16.471,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1134.0,0
3967,2015-11-03,2015-11-03,16.373,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1123.1,0
3968,2015-11-04,2015-11-04,16.5245,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1114.7,0
3969,2015-11-05,2015-11-05,16.5815,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1106.3,0
3970,2015-11-06,2015-11-06,16.843,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1088.9,0
3971,2015-11-09,2015-11-09,16.854,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1089.6,0
3972,2015-11-10,2015-11-10,16.7625,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1087.1,0
3973,2015-11-12,2015-11-12,16.732,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1087.4,0
3974,2015-11-13,2015-11-13,16.6965,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1081.5,0
3975,2015-11-16,2015-11-16,16.8145,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1084.8,0
3976,2015-11-17,2015-11-17,16.77,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1079.2,0
3977,2015-11-18,2015-11-18,16.7655,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1067.8,0
3978,2015-11-19,2015-11-19,16.57,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1082.6,0
3979,2015-11-20,2015-11-20,16.508,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1081.8,0
3980,2015-11-23,2015-11-23,16.524,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1070.5,0
3981,2015-11-24,2015-11-24,16.457,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1076.4,0
3982,2015-11-25,2015-11-25,16.545,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1068.0,0
3983,2015-11-30,2015-11-30,16.6005,2.13,0.0119671133559021,0.950507099391482,0.04112212261531329,0,1061.9,0
3984,2015-12-01,2015-12-01,16.5305,2.11,0.0119671133559021,0.9766084018801392,0.0431361455705091,0,1065.4,0
3985,2015-12-02,2015-12-02,16.588,2.11,0.0119671133559021,0.9766084018801392,0.0431361455705091,0,1055.4,0
3986,2015-12-03,2015-12-03,16.718,2.11,0.0119671133559021,0.9766084018801392,0.0431361455705091,0,1055.5,0
3987,2015-12-04,2015-12-04,16.6555,2.11,0.0119671133559021,0.9766084018801392,0.0431361455705091,0,1079.3,0
3988,2015-12-07,2015-12-07,16.9,2.11,0.0119671133559021,0.9766084018801392,0.0431361455705091,0,1075.8,0
3989,2015-12-08,2015-12-08,17.0245,2.11,0.0119671133559021,0.9766084018801392,0.0431361455705091,0,1072.1,0
3990,2015-12-09,2015-12-09,17.0505,2.11,0.0119671133559021,0.9766084018801392,0.0431361455705091,0,1081.0,0
